seed,actions,boundaries,C_B,C_D_structured,C_D_unstructured,R_pi_active,R_pi_uniform
0,2,1,1,8.33634081652177,47.24750830779067,7.816230481300179e-05,0.03779010435574384
0,3,2,2,11.486840524878291,70.15437101180427,0.00010803335321343998,0.03916621861712706
0,4,3,3,14.881462738748041,96.03336975818866,0.00016795114467208164,0.03597801632984273
0,6,5,5,21.509096534649135,153.93793348307887,0.00024816751836246855,0.042409246284851675
0,8,7,7,27.31115187038324,218.86745216463993,0.0002957168312596857,0.047629624706571276
0,12,11,11,40.610516868674075,363.40419851712016,0.00046628603391565555,0.0698520225423877
0,16,15,15,52.99874130366329,522.9373975147239,0.0006479384111191885,0.0670685665818227
1,2,1,1,8.104333658978504,47.93923364633155,6.094537015349834e-05,0.03886429773507342
1,3,2,2,11.024922075027877,72.8611607395812,0.00012660438979811067,0.039241325052008995
1,4,3,3,13.912278313362327,97.40965199160226,0.0001519398915718426,0.03442253955863556
1,6,5,5,20.24705050888973,157.99946956510502,0.0002579422226398926,0.045236635353382224
1,8,7,7,27.461286660835643,214.61798252734124,0.0003600457214911778,0.04496542043102478
1,12,11,11,40.11613473566081,362.6369872990133,0.0004893461097839917,0.057174504739952614
1,16,15,15,53.60893811447423,521.8839124610978,0.0006888771120716269,0.06799390705307058
2,2,1,1,8.354670660485658,51.066542739686525,6.44290979646782e-05,0.03671836892041753
2,3,2,2,11.105699622524023,73.51079135353665,9.650908674855737e-05,0.03752993552350514
2,4,3,3,14.862378122442905,99.90480951023912,0.00017524574285909087,0.03866963285641542
2,6,5,5,21.27554567215156,154.26689162067817,0.0002340459122904719,0.042557456389648855
2,8,7,7,27.559285113783428,216.4260840579107,0.0003547433671197561,0.05797347596407777
2,12,11,11,39.90020082823775,366.0355114393479,0.0005388129431203861,0.05320189887814143
2,16,15,15,53.13576585219213,526.0114662257994,0.0007905061868387477,0.07430173756253311
3,2,1,1,8.400543770369868,48.95409640818893,6.098671460589669e-05,0.03366300456077063
3,3,2,2,12.008716564738629,73.36893006960968,0.00011067046931780484,0.03697756739027751
3,4,3,3,14.908573236597604,101.58548800507295,0.00017710957331538456,0.038509621710432346
3,6,5,5,20.95768476288711,155.26808931448517,0.000282664875322842,0.0418517262503227
3,8,7,7,27.09872550063654,220.93404924044577,0.00031914118108280224,0.05281593357170199
3,12,11,11,40.312894432483645,362.25524863975284,0.0006143979811750614,0.06081469700902232
3,16,15,15,53.20230145525209,525.739993071318,0.000769329415542443,0.07767857435455086
4,2,1,1,8.199031529493015,46.107212460899454,6.644008324088037e-05,0.02846987853840794
4,3,2,2,11.522866491410511,72.09032370987278,0.00011730730449692552,0.02692893613647119
4,4,3,3,14.577295604233157,99.24341791736755,0.00015520295569209456,0.03442125186070111
4,6,5,5,20.668616320772404,154.76349945209532,0.00023565804390343498,0.03928498608123753
4,8,7,7,27.509550281580037,218.60823907666867,0.00035587311924777196,0.05151939088055366
4,12,11,11,40.51997836985403,361.146513996963,0.000529594026004579,0.05704253667337348
4,16,15,15,53.09325666872762,527.1154240147425,0.0007153093446596677,0.07239265231131249
5,2,1,1,7.98145782641458,47.91340165388943,8.808487717335235e-05,0.033430852569621874
5,3,2,2,11.973609537126933,71.65372080331147,0.00011890968582924208,0.03829216866012901
5,4,3,3,15.148500662328168,95.73993218056918,0.00014995616116946758,0.04210149174778121
5,6,5,5,20.8053371511989,155.40096695363465,0.0002696310087890188,0.045901426241820725
5,8,7,7,27.471457643869346,220.18709637453225,0.0003453362581345676,0.053203522886810406
5,12,11,11,40.37568476323415,362.6826567096399,0.0004132821966603646,0.049898008792693065
5,16,15,15,52.954218451718084,522.0190801970305,0.0006976691369715861,0.06958392957578084
6,2,1,1,7.0828019884220295,51.385552737957774,7.687780945931157e-05,0.03187811926985489
6,3,2,2,12.174928047055245,71.06240473827874,0.000116719232328971,0.030142426106682385
6,4,3,3,14.507582981763019,99.66175418587873,0.00016752702305090377,0.027430555954881624
6,6,5,5,21.026126363449485,155.22966585154978,0.00024249279906731272,0.04152905563704055
6,8,7,7,27.32920959001111,219.8430566240557,0.0003794644607674583,0.04546612433939768
6,12,11,11,39.93498893601829,363.55259399118796,0.0005627020055503467,0.0600494027656015
6,16,15,15,53.16874503338894,526.8868030974024,0.0008235318380982903,0.07713275835418942
7,2,1,1,8.09134318837892,47.06689588013718,9.631215121427752e-05,0.030134274787603152
7,3,2,2,11.680736137424331,76.13382036829597,0.00011010981320748201,0.03543536511554255
7,4,3,3,14.079908922314978,99.37912167168876,0.00015599186081685342,0.03886865475263892
7,6,5,5,20.789032420836765,154.40791541129258,0.00023864875431008195,0.04413212059192782
7,8,7,7,27.896524212381543,214.23495299487288,0.0003698653059800369,0.04389530231776152
7,12,11,11,39.78903599820018,364.00414223111164,0.0005012974754266416,0.06222409883255604
7,16,15,15,53.12332319954923,525.963746934244,0.0006934181214378544,0.06149397188623562
8,2,1,1,8.200082162191636,54.450133203801684,6.813586569648199e-05,0.035780573802929344
8,3,2,2,10.92521402294839,72.38542428459324,0.00010702998550707999,0.029654200200346523
8,4,3,3,14.922460968820532,96.25196123093261,0.0001565695039536968,0.04003550180101429
8,6,5,5,20.437252914529846,156.91127349038138,0.00025702153108668674,0.04005041158440614
8,8,7,7,27.05401404317337,221.40255996854054,0.00040625956769959915,0.04344862585805957
8,12,11,11,41.08969257718148,367.3162263177789,0.0005977255618990593,0.052619211183270224
8,16,15,15,53.09785577168465,528.6190265786781,0.0007202780644611705,0.06696174860655466
9,2,1,1,8.325381219093961,50.55080841542372,6.632581805088857e-05,0.031052429213432292
9,3,2,2,12.061779833578612,72.3731082846386,0.00011562499397346814,0.03267257392618539
9,4,3,3,14.856703122094148,98.58846175550528,0.0001592756356903943,0.038252764176938
9,6,5,5,21.59932765432984,155.582734649491,0.0002875010923431681,0.05428929714196771
9,8,7,7,28.06760025991395,215.787023523567,0.00030401567286681607,0.04713045543873642
9,12,11,11,39.87140019114638,363.31968880973994,0.000547822482001529,0.05667150992893037
9,16,15,15,52.597885069204686,525.4128108006183,0.0006875787231099222,0.055512835433672164
10,2,1,1,8.677540702494328,49.83957179797275,7.06552434349635e-05,0.03169355694005367
10,3,2,2,11.624795318727902,73.59631404504744,0.00013024394129889638,0.037796886657003176
10,4,3,3,13.920752851277541,96.2395202836114,0.00017655999786542868,0.042517230674656924
10,6,5,5,21.48188049261763,154.3694788783551,0.0002521286660220608,0.04204689540206789
10,8,7,7,27.23182919520555,219.04080903982492,0.0003646778053734081,0.05122404248658985
10,12,11,11,40.84807813998093,362.48351975846555,0.0006087509261383111,0.0645967257102757
10,16,15,15,53.11451688432743,528.62661003265,0.0007300756676464571,0.07834105326906976
11,2,1,1,8.141238034599134,54.28438612727916,7.018602266743528e-05,0.03324044377240784
11,3,2,2,10.6515472364819,71.74380348968575,0.0001254969137771457,0.0335212396213203
11,4,3,3,14.552272872471553,96.66364764545521,0.00014089299176101545,0.044372971502538036
11,6,5,5,21.143091155127284,152.6487285529054,0.00023495034206137002,0.04515607892935107
11,8,7,7,27.4016754728909,220.33096758273035,0.0003465904548417415,0.05130470226543607
11,12,11,11,40.20012224248357,365.3260002219957,0.0005616476275050045,0.056809312506016826
11,16,15,15,52.29012985173586,530.0716066720594,0.0006486174288762779,0.06974296885061286
12,2,1,1,8.37165952631588,47.21607736963068,8.047383692627266e-05,0.03547886261357181
12,3,2,2,11.31124306686915,70.2083483727295,0.00010525635587626393,0.038010171746642445
12,4,3,3,14.130041309499665,100.00422773651339,0.00015616729644669908,0.03598136991599923
12,6,5,5,21.031361833593134,158.94888333607804,0.0002546059074775055,0.04331776407521805
12,8,7,7,27.22669400346936,219.9329701940605,0.0003739055760606215,0.04574810675168416
12,12,11,11,40.395923521822084,367.6606560846795,0.0005992401987125118,0.06414133286483928
12,16,15,15,52.995708022022825,524.5486766907289,0.0006787371193179799,0.06292025807939688
13,2,1,1,8.043762715731276,49.40283654276354,6.599833974511758e-05,0.033469723621678805
13,3,2,2,11.548101476210308,73.4581625475159,0.00011157639916924157,0.030683235695646804
13,4,3,3,14.859637998990221,97.04108634792811,0.0001694109969627791,0.042125987336604914
13,6,5,5,21.573785954927004,150.8660222156144,0.00024360558839187037,0.04040167048222458
13,8,7,7,26.711419454793468,218.52833870457107,0.00034850608690382387,0.051846041308623504
13,12,11,11,40.01034072638591,363.89905918476546,0.0005728300444913905,0.05032185253763521
13,16,15,15,53.21938890431753,526.2236502388523,0.0006836880661000386,0.06361116574168896
14,2,1,1,8.474578423568497,48.89741057584528,7.523159116523562e-05,0.03453995661107089
14,3,2,2,11.509896819271962,77.39560330654189,0.0001259505731675956,0.03686088444562717
14,4,3,3,14.82521499658564,96.62860708827115,0.00017639615662635942,0.040701852813450616
14,6,5,5,21.01495010689425,156.82052227040566,0.00023273044275991017,0.039883041376774765
14,8,7,7,28.10983872175131,218.37941589069695,0.00040715529675362317,0.04996363309946682
14,12,11,11,40.174176194019395,365.0096761263147,0.0005571654913720412,0.05045806536064256
